country,housing,income,jobs,community,education,environment,civic engagement,health,life satisfaction,safety,work-life balance
AUS,0.754861644,0.282924351,0.730612072,0.815217089,0.897851143,0.932635856,0.894405941844581,0.377191033,0.947379707317073,0.661864705,0.511786365
AUT,0.709393184,0.32545371,0.717286042,0.723202459,0.951829829,0.922076189,0.482161335,0.308924483,0.951219512,0.817211698,0.560417653
BEL,0.617694282,0.534966254,0.484686212,0.760736766,0.907324075,0.781922504,0.819882204,0.306109062,0.897560976,0.88357149,0.855905269
BRA,0.0857753216364084,0.0243112948248621,0.605390612,0.0855921418398985,0.813460275,0.958973146585856,0.0641251555690917,0.323523169711868,0.674817182,0.762619837,0.492585355606924
CAN,0.672519916,0.451737125,0.748254866,0.762005816,0.899895909,0.954895718,1,0.279505104,0.990731707,0.906598919,0.525804959
CHL,0.197241608034565,0.09077369,0.49268742,0.284250828089278,0.765736663,0.914888729018373,0.272779085,0.512507281,0.543516585,0.650437186,0.647117466745544
CZE,0.316480471,0.103289137,0.663718437,0.280948834,0.871869971,0.860817339,0.369587713,0.003731008,0.965853659,0.851289154,0.677310475288992
DNK,0.563452166,0.320542174,0.761013995,0.787421483,0.949956578,0.915427651,0.651021769,0.070785608,0.975609756,0.948091994,0.880555519
EST,0.242677061,0.075453361,0.678747653,0.278005941,0.780087393,0.830140054,0.482161335,0.463395837,0.648780488,0.920380395,0.645385469
FIN,0.603413786,0.130313802,0.661875472,0.629655085,0.941142558,0.899461322,0.651021769,0.252683749,0.970731707,0.912356273,0.7104539
FRA,0.650432699,0.31435114,0.542907212,0.631188931,0.875743591,0.784291362,0.594734958,0.280842274,0.975609756,0.805726682,1
DEU,0.717372207,0.289103657,0.786169513,0.6854816,0.935826551,0.8872701,0.594734958,0.273374227,1,0.877529902,0.803275319
GRC,0.290096646,0.086988878,0.168484072,0.374569077,0,0,0.25701409,0.001915967,0.975609756,0.841514057,0.607412059724028
HUN,0.2132996,0.088274223,0.481678012,0.284755922,0.772381034,0.806476173,0.200727278,0.403792892,0.741463415,0.908253442,0.678595210179874
ISL,0.593522106652921,0.317004011562973,1,0.915791003592943,1,0.965996924,0.482161335,0.096774466,1,0.651775301685916,0.458108259927999
IRL,0.440605915,0.176549239,0.469784781,0.853334795,0.863760536,0.641797942,0.707308581,0.358780494,0.995121951,0.899271287,0.742843442455023
ISR,0.414224023193965,0.290535095,0.635838643,0.431624096,0.899883453,0.968427572,0.241530555,0.323523169711868,0.786507414634146,0.627337579,0.411490127983982
ITA,0.503489725,0.333036012,0.348255713,0.522706285,0.645030648,0.600451411,0.369587713,0.111055981,0.96097561,0.906419006,0.643941789
JPN,0.575150671,0.558534386,0.757342533,0.539261342,0.947797789,0.93093466,0.643587662,0.223739421,0.687805284,0.444467171289541,0.633240096
KOR,0.329449225,0.170231263088242,0.572119243,0.556748635,0.955448253,1,0.385669659,0.652144226,0.796857099,0.41307275140123,0.596803977
LVA,0.15277372,0.038539965,0.595852471,0.300283700732099,0.767474413322133,0.760590071,0.25701409,0,0.282926829,0.941878556,0.386284176
LUX,0.995157747144497,0.381078256,0.604722344,1,0.955761899,0.918260094,0.707308581,0.323523169711868,0.995121951,0.92075452,0.711286845694129
MEX,0.126514144,0.0386618804327603,0.44770734,0.132333879,0.855870525,0.997533872,0.11975178,0.262550989,0.795472204,0.280939722,0.134376287963254
NLD,0.588614765,0.423383447,0.768951728,0.812626658,0.92448995,0.847608729,0.651021769,0.439601343,1,0.993155397,0.88756667661794
NZL,0.448139921724365,0.486177122057428,0.797503652,0.708850553549878,0.866691303,0.960328226,0.909941102,0.170310858,0.985807658536585,0.652002622,0.637288554
NOR,0.762740916,0.082989194,0.824508142,0.825373512,0.97661902,0.979347016,0.707308581,0.535929537,1,0.926478146,0.805674638
POL,0.281485884,0.057750074,0.479078472,0.324889191,0.740153776,0.833299271,0.200727278,0.258797665,0.848780488,0.819067216,0.527980196
PRT,0.345203706,0.162151507,0.502886291,0.330730865,0.65006431,0.575121873,0.538448147,0.426817262,0.951219512,0.754576085,0.602791841488688
RUS,0.256311264,0,0.673089388,0.384216900794278,0.858911921,0.926240184,0.099411018,1,0.297560976,1,0.647117466745544
SVK,0.30352686,0.032646692,0.461195382,0.298164611,0.680058679,0.548361797,0.200727278,0.048278098,0.936585366,0.845204835,0.649307581237356
SVN,0.321955069,0.085127592,0.535015853,0.492835535,0.857664246,0.729938035,0.425874524,0.441121076,0.970731707,0.863812812,0.60894935
ZAF,0,0.083033577,0,0,0.300043274,0.261913184,0,0.480733539,0,0.542212435,0.603199815
ESP,0.41085549,0.163756491,0.354924883,0.545333425,0.171971762,0.336891611,0.651021769,0.187337851,0.995121951,0.861058958,0.894437275
SWE,0.622613641,0.414913344,0.813985233,0.634150911,0.858136631,0.932074453,0.594734958,0.367552116,1,0.976304041,0.71420925
CHE,0.841825493,0.730528483,0.939334216,0.921020825,0.968756797,0.912679998,0.594734958,0.262201534,1,0.842336618251917,0.673135366886432
TUR,0.147061945296605,0.001246777,0.171691041,0.188353985109962,0.731676398,0.89558305,0.200727278,0.323523169711868,0.629268293,0,0
GBR,0.555507804,0.415087971,0.756936648,0.64602301,0.841688436,0.886367093,0.651021769,0.195244902,0.980487805,0.676152294,0.637288554
USA,1,1,0.643077873,0.92202793,0.858102776,0.927671973,0.915569782924772,0.457980284,0.996084154,0.705484882,0.540063032
